account_name,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
Salisa,Influencer,0,0,37823,0,0.0,0.0,19345.0,0.0,0,0,72,0,37823,19345.0,72,Micro
พลอย CocoPsyche,Influencer,0,4,2242,0,0.0,95.0,9622.0,0.0,0,6,40,0,2246,9717.0,46,Micro
Bew Varaporn,Influencer,82416,0,1511324,105511,39700.0,0.0,349150.0,503000.0,209,0,139,36,1699251,891850.0,384,Macro
นักรีวิวสมัครเล่น,Influencer,439599,424478,19069,0,298552.0,82172.0,5769.0,0.0,651,335,64,0,883146,386493.0,1050,Macro
Ninew Yopang,Influencer,0,0,2829,4,0.0,0.0,15720.0,1310.0,0,0,16,5,2833,17030.0,21,Micro
lumai (@looookmai),Influencer,0,0,780,0,0.0,0.0,890.0,0.0,0,0,7,0,780,890.0,7,End-user
minireview_by_mint,Influencer,0,0,509,0,0.0,0.0,1426.0,0.0,0,0,8,0,509,1426.0,8,Nano
nanapat,Influencer,0,0,150032,0,0.0,0.0,29772.0,0.0,0,0,68,0,150032,29772.0,68,Micro
Pureswan,Influencer,0,0,13645,5317,0.0,0.0,15374.0,77500.0,0,0,18,12,18962,92874.0,30,Micro
jimmakeup,Influencer,0,0,17536,7,0.0,0.0,81108.0,1120.0,0,0,56,1,17543,82228.0,57,Micro
ppraewq,Influencer,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Micro
jejee__s,Influencer,0,0,41746,0,0.0,0.0,43284.0,0.0,0,0,53,0,41746,43284.0,53,Micro
น้องนอนในห้องลองเสื้อ,Influencer,17310,0,16545,0,18011.0,0.0,3430.0,0.0,713,0,84,0,33855,21441.0,797,Micro
belltatcha,Influencer,0,0,149332,0,0.0,0.0,136892.0,0.0,0,0,48,0,149332,136892.0,48,Macro
iceamore,Influencer,0,0,9608,0,0.0,0.0,13617.0,0.0,0,0,46,0,9608,13617.0,46,Micro
Cute Anongnart,Influencer,0,0,392183,0,0.0,0.0,105100.0,0.0,0,0,33,0,392183,105100.0,33,Macro
Jayzpanda,Influencer,1794,0,1560,0,3065.0,0.0,1879.0,0.0,123,0,61,0,3354,4944.0,184,Micro
ของขวัญ วศินี สิทธิวรพงศ์,Influencer,0,199233,175195,5250,0.0,184469.0,81824.0,125000.0,0,201,125,16,379678,391293.0,342,Macro
tommy_hairstylist,Influencer,0,0,651,0,0.0,0.0,5986.0,0.0,0,0,31,0,651,5986.0,31,Nano
Netty Vichyanond,Influencer,0,0,60144,163,0.0,0.0,29310.0,4970.0,0,0,109,1,60307,34280.0,110,Micro
Arifah KH,Influencer,12637,0,106334,70195,91978.0,0.0,110071.0,392000.0,165,0,68,15,189166,594049.0,248,Macro
Richynichakan,Influencer,0,0,6391,0,0.0,0.0,35730.0,0.0,0,0,42,0,6391,35730.0,42,Micro
นีน่า แพรวเพชร กาญจน์เกียรติกุล,Influencer,0,0,254822,2846,0.0,0.0,115356.0,193000.0,0,0,81,6,257668,308356.0,87,Macro
รีวิวเบๆบ้านๆ,Influencer,0,0,26,0,0.0,0.0,782.0,0.0,0,0,1,0,26,782.0,1,Nano
Amy Kitiya,Influencer,3783362,0,384886,177170,775742.0,0.0,337335.0,1220000.0,564,0,51,37,4345418,2333077.0,652,Mega
MadamPam,Influencer,0,0,4657,97228,0.0,0.0,7305.0,914000.0,0,0,9,69,101885,921305.0,78,Macro
โมเม นภัสสร บูรณศิริ,Influencer,0,291,185753,35281,0.0,266516.0,779728.0,204000.0,0,7,35,11,221325,1250244.0,53,Mega
LEEAH,Influencer,0,0,187992,111806,0.0,0.0,319528.0,733000.0,0,0,78,20,299798,1052528.0,98,Mega
เอิ๊ก พีรญา ป้อมอาษา,Influencer,0,24874,29362,57,0.0,23455.0,82825.0,122000.0,0,167,85,2,54293,228280.0,254,Macro
ก็ฝ้ายจะรีวิว,Influencer,0,0,4468,5694,0.0,0.0,1754.0,16800.0,0,0,27,11,10162,18554.0,38,Micro
mm.sharing,Influencer,0,0,670,0,0.0,0.0,3207.0,0.0,0,0,6,0,670,3207.0,6,Nano
The Equinox Fashion,Influencer,0,0,5344,0,0.0,0.0,16682.0,0.0,0,0,26,0,5344,16682.0,26,Micro
hackmakeup,Influencer,0,0,25496,464,0.0,0.0,63988.0,44600.0,0,0,81,1,25960,108588.0,82,Macro
ก๊อบแก๊บรีวิว,Influencer,236618,234045,158,0,373531.0,112161.0,4351.0,0.0,197,111,1,0,470821,490043.0,309,Macro
teethory,Influencer,0,0,4041,0,0.0,0.0,44182.0,0.0,0,0,19,0,4041,44182.0,19,Micro
pearlinstyle,Influencer,0,0,14742,0,0.0,0.0,49044.0,0.0,0,0,71,0,14742,49044.0,71,Micro
ออนนีเยปอ,Influencer,6964,243909,21654,905,23970.0,42956.0,5983.0,22100.0,197,300,76,6,273432,95009.0,579,Macro
จูน June Jellyjune,Influencer,0,0,89495,1015,0.0,0.0,44977.0,82500.0,0,0,80,2,90510,127477.0,82,Macro
รีวิวมนุษย์ผิวแห้ง,Influencer,118152,0,0,0,175514.0,0.0,0.0,0.0,307,0,0,0,118152,175514.0,307,Macro
มด ดวงกมล ถิระวัฒน์,Influencer,0,0,237114,47,0.0,0.0,131838.0,75300.0,0,0,547,2,237161,207138.0,549,Macro
Tewfortew,Influencer,0,0,0,41024,0.0,0.0,0.0,40900.0,0,0,0,24,41024,40900.0,24,Micro
tonnkhaw,Influencer,0,0,258523,0,0.0,0.0,63470.0,0.0,0,0,62,0,258523,63470.0,62,Micro
Znysomm,Influencer,0,0,11751,0,0.0,0.0,14085.0,0.0,0,0,24,0,11751,14085.0,24,Micro
ทราย นันทวรรณ พรชัยจันทร์เพ็ญ,Influencer,0,106892,110321,263,0.0,28094.0,162681.0,127000.0,0,226,145,4,217476,317775.0,375,Macro
SistaCafe,Influencer,582771,81482,272083,979,1312761.0,213692.0,307689.0,51600.0,3039,1414,153,13,937315,1885742.0,4619,Mega
jomjamspch,Influencer,0,0,506525,3351,0.0,0.0,199371.0,46300.0,0,0,53,2,509876,245671.0,55,Macro
พรีม with.peachy,Influencer,0,0,9896,0,0.0,0.0,12888.0,0.0,0,0,58,0,9896,12888.0,58,Micro
Lee Gade,Influencer,0,0,3118124,0,0.0,0.0,469659.0,0.0,0,0,75,0,3118124,469659.0,75,Macro
atilalnan_,Influencer,0,0,344061,0,0.0,0.0,177457.0,0.0,0,0,79,0,344061,177457.0,79,Macro
BEHIND the BEAUTY,Influencer,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Micro
Wongnai Beauty,Influencer,1301888,19481,83758,0,1695725.0,37743.0,77546.0,0.0,3936,63,141,0,1405127,1811014.0,4140,Mega
sunnyseason,Influencer,0,54,6632,0,0.0,1470.0,4330.0,0.0,0,129,129,0,6686,5800.0,258,Nano
kapookphat,Influencer,0,0,733412,0,0.0,0.0,254161.0,0.0,0,0,89,0,733412,254161.0,89,Macro
Brinkkty,Influencer,78729,0,1497468,91149,78441.0,0.0,360480.0,368000.0,129,0,120,30,1667346,806921.0,279,Macro
Natt Chokejindachai,Influencer,0,0,605733,4499,0.0,0.0,173902.0,31800.0,0,0,90,3,610232,205702.0,93,Macro
puffpoy,Influencer,0,2346,35783,0,0.0,1973.0,77077.0,0.0,0,189,27,0,38129,79050.0,216,Micro
malinmln,Influencer,0,0,620168,495,0.0,0.0,179568.0,45400.0,0,0,158,4,620663,224968.0,162,Macro
Maycry999,Influencer,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Micro
Wannita Kumnui,Influencer,0,8070,719,0,0.0,3667.0,2162.0,0.0,0,293,8,0,8789,5829.0,301,Nano
lifestylehattaya70,Influencer,54874,79,61378,6729,196390.0,5615.0,102434.0,354000.0,78,16,43,12,123060,658439.0,149,Macro
bampchr,Influencer,0,0,93356,0,0.0,0.0,13072.0,0.0,0,0,42,0,93356,13072.0,42,Micro
minipuly,Influencer,0,336,2381,0,0.0,305.0,1301.0,0.0,0,287,94,0,2717,1606.0,381,Nano
เมย์ Me.Melissa,Influencer,0,0,2750,0,0.0,0.0,19245.0,0.0,0,0,21,0,2750,19245.0,21,Macro
Mejungwon Hair Salon,Influencer,5039,0,910,0,35055.0,0.0,1964.0,0.0,1076,0,167,0,5949,37019.0,1243,Micro
Meiyong Pissini,Influencer,0,0,81205,0,0.0,0.0,40703.0,0.0,0,0,139,0,81205,40703.0,139,Micro
แพรี่พาย อมตา จิตตะเสนีย์,Influencer,0,0,639960,0,0.0,0.0,1543955.0,0.0,0,0,66,0,639960,1543955.0,66,Mega
Bybambiandmashi,Influencer,0,0,7229,0,0.0,0.0,17297.0,0.0,0,0,18,0,7229,17297.0,18,Micro
อีฟ Evefee,Influencer,0,0,113781,7973,0.0,0.0,62628.0,188000.0,0,0,123,19,121754,250628.0,142,Macro
Jeban.com,Influencer,268662,322191,5022,0,1287546.0,286808.0,113617.0,0.0,746,132,48,0,595875,1687971.0,926,Mega
Frennicha,Influencer,0,10633,326468,16170,0.0,21280.0,83594.0,139000.0,0,38,104,17,353271,243874.0,159,Macro
ต้นหลิว,Influencer,0,0,282951,0,0.0,0.0,64771.0,0.0,0,0,39,0,282951,64771.0,39,Macro
nattiw,Influencer,0,0,55677,0,0.0,0.0,92054.0,0.0,0,0,182,0,55677,92054.0,182,Micro
Noyneung Makeup,Influencer,51458,170000,150551,58247,115503.0,57110.0,70658.0,150000.0,259,141,147,33,430256,393271.0,580,Macro
armmakeup,Influencer,0,0,32679,519,0.0,0.0,219385.0,131000.0,0,0,132,10,33198,350385.0,142,Macro
nongchat,Influencer,0,0,894040,0,0.0,0.0,1186150.0,0.0,0,0,553,0,894040,1186150.0,553,Mega
เอกพงษ์ จิงหะรานนท์ Lookpad_misazaki,Influencer,0,0,978,2413,0.0,0.0,1973.0,62300.0,0,0,19,7,3391,64273.0,26,Micro
อาชิ อาชิตา ศิริภิญญานนท์,Influencer,0,42112,2237604,38242,0.0,91881.0,1309225.0,1290000.0,0,63,105,19,2317958,2691106.0,187,Mega
มอส ธนพร พลโกษฐ์,Influencer,0,0,173554,12818,0.0,0.0,169311.0,322000.0,0,0,72,9,186372,491311.0,81,Macro
บ้าคสอจนผัวไม่ทน(@ngamdemarco),Influencer,0,0,6405,0,0.0,0.0,31230.0,0.0,0,0,71,0,6405,31230.0,71,Micro
Pook Jongkol,Influencer,0,0,48588,0,0.0,0.0,48223.0,0.0,0,0,166,0,48588,48223.0,166,Micro
NampunMakeup,Influencer,0,0,7190,11,0.0,0.0,50900.0,16.0,0,0,89,1,7201,50916.0,90,Micro
manasaproyy,Influencer,0,0,2632363,0,0.0,0.0,592326.0,0.0,0,0,106,0,2632363,592326.0,106,Macro
zphez,Influencer,0,0,2420,0,0.0,0.0,4190.0,0.0,0,0,7,0,2420,4190.0,7,Nano
iiitoei,Influencer,0,4612,4166862,19567,0.0,44391.0,1695319.0,359000.0,0,8,112,7,4191041,2098710.0,127,Mega
แป้ง สุอารี ทรรศนกุลพันธ์,Influencer,0,276867,75932,722,0.0,43435.0,75650.0,113000.0,0,197,120,15,353521,232085.0,332,Macro
neayranchana,Influencer,0,0,50183,0,0.0,0.0,16736.0,0.0,0,0,60,0,50183,16736.0,60,Micro
Alie BlackCobra,Influencer,126449,3210,1474372,125889,156284.0,16832.0,266174.0,585000.0,32,3,96,17,1729920,1024290.0,148,Mega
PuPe_so_Sweet,Influencer,290669,4,15362,0,127464.0,774.0,35523.0,0.0,513,1,63,0,306035,163761.0,577,Macro
Blacklist Secret,Influencer,519719,0,455272,74545,528071.0,0.0,47159.0,169000.0,589,0,138,34,1049536,744230.0,761,Macro
พลอยชมพู วัชรเจริญพงษ์,Influencer,0,0,0,78852,0.0,0.0,0.0,1310000.0,0,0,0,21,78852,1310000.0,21,Mega
Pekky the angel,Influencer,0,0,6356,196,0.0,0.0,7109.0,62300.0,0,0,38,2,6552,69409.0,40,Micro
Pairyinwonderland,Influencer,1188,49,17534,602,34442.0,1389.0,43031.0,23700.0,122,3,93,8,19373,102562.0,226,Macro
ป้าพิม - PaPim,Influencer,0,0,13052,65,0.0,0.0,55210.0,112000.0,0,0,155,5,13117,167210.0,160,Macro
บลอสซั่ม ชนัญชิดา รุ่งเพชรรัตน์,Influencer,0,0,401068,957,0.0,0.0,270995.0,11300.0,0,0,67,2,402025,282295.0,69,Macro
Unfull ice,Influencer,0,0,1265,904,0.0,0.0,2155.0,27300.0,0,0,30,16,2169,29455.0,46,Micro
ป๊อบ ปิยนุช จิตตินันทน์,Influencer,0,176868,217710,42076,0.0,42342.0,227951.0,331000.0,0,366,94,14,436654,601293.0,474,Macro
Beauty By Orangina,Influencer,35417,9638,5336,1256,146834.0,1837.0,23997.0,28400.0,1227,321,211,26,51647,201068.0,1785,Macro
Babyjingko,Influencer,118294,0,1017262,133504,96480.0,0.0,188153.0,407000.0,227,0,110,20,1269060,691633.0,357,Macro
