Unnamed: 0,id,account_name,facebook_id,twitter_id,instagram_id,youtube_id,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
125,a-63b08190509c11eb9aea8c8590014502,Jessiescape,159892000000000,0,0,UCik1aDcrJEUIyg8GT3Fcpcw,Food,48077,0,0,57615,26259.0,0.0,0.0,315000.0,70,0,0,26,105692,341259.0,96,Macro
126,a-63b448b6509c11eb9aea8c8590014502,แดก,180898000000000,0,0,0,Food,3044129,0,0,0,1131499.0,0.0,0.0,0.0,9437,0,0,0,3044129,1131499.0,9437,Mega
127,a-63b0ef5e509c11eb9aea8c8590014502,Aumfooddiary,1813900000000000,0,6347615,UCO4HZrxJOy0lkztHi9afCbQ,Food,2015,0,414535,164,617.0,0.0,189835.0,544.0,1547,0,730,121,416714,190996.0,2398,Macro
128,a-63b19670509c11eb9aea8c8590014502,กินได้อร่อยด้วย,1678510000000000,0,0,UC4ffck2VmDdcinC4MaZw-gg,Food,9199872,0,0,857305,316687.0,0.0,0.0,1510000.0,436,0,0,168,10057177,1826687.0,604,Mega
129,a-63b342f4509c11eb9aea8c8590014502,Icedessertdiary,472064000000000,7.38748e+,1833059653,0,Food,9234,0,1408796,0,36841.0,0.0,239603.0,0.0,1303,0,490,0,1418030,276444.0,1793,Macro
130,a-63b30ff0509c11eb9aea8c8590014502,Ginyuudai - กินอยู่ได้,105962000000000,1.16372e+,2186246883,0,Food,23,0,2663148,0,23239.0,0.0,334594.0,0.0,98,0,677,0,2663171,357833.0,775,Macro
131,a-63b0dea6509c11eb9aea8c8590014502,หิวมั้ย,1775550000000000,0,0,0,Food,89,0,0,0,1126.0,0.0,0.0,0.0,16,0,0,0,89,1126.0,16,Nano
132,a-63b23292509c11eb9aea8c8590014502,The Charapaabs,957725000000000,0,0,0,Food,332,0,0,0,5864.0,0.0,0.0,0.0,7,0,0,0,332,5864.0,7,Nano
133,a-63b27194509c11eb9aea8c8590014502,หนูนาสวีเดน แฟนเฟจ Noona Sweden,1419820000000000,0,0,UCZQ2uM3dTLCEFH4gWIswLvQ,Food,0,0,0,15438,0.0,0.0,0.0,563000.0,0,0,0,346,15438,563000.0,346,Macro
134,a-63b214b0509c11eb9aea8c8590014502,ไทยสุรินทร์ กินแซบๆ,0,0,0,UCATFgJlj0xlxkBq5NNTE0Ag,Food,0,0,0,49078,0.0,0.0,0.0,47900.0,0,0,0,145,49078,47900.0,145,Micro
