account_name,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
Salisa,Influencer,0,0,68150,0,0.0,0.0,18482.0,0.0,0,0,108,0,68150,18482.0,108,Micro
พลอย CocoPsyche,Influencer,0,0,1516,9,0.0,95.0,9657.0,53500.0,0,1,22,1,1525,63252.0,24,Micro
Bew Varaporn,Influencer,104374,0,1030261,75575,50851.0,0.0,349150.0,530000.0,370,0,134,41,1210210,930001.0,545,Macro
นักรีวิวสมัครเล่น,Influencer,1107014,257022,36546,0,406403.0,92279.0,13886.0,0.0,1098,308,60,0,1400582,512568.0,1466,Macro
Ninew Yopang,Influencer,0,0,2585,4,0.0,0.0,15631.0,1400.0,0,0,18,2,2589,17031.0,20,Micro
lumai (@looookmai),Influencer,0,0,818,0,0.0,0.0,888.0,0.0,0,0,8,0,818,888.0,8,End-user
minireview_by_mint,Influencer,0,0,253,0,0.0,0.0,1426.0,0.0,0,0,5,0,253,1426.0,5,Nano
nanapat,Influencer,0,0,163005,0,0.0,0.0,30017.0,0.0,0,0,82,0,163005,30017.0,82,Micro
Pureswan,Influencer,0,0,16373,1536,0.0,0.0,13463.0,82700.0,0,0,20,11,17909,96163.0,31,Micro
jimmakeup,Influencer,0,0,24176,0,0.0,0.0,82819.0,0.0,0,0,87,0,24176,82819.0,87,Micro
ppraewq,Influencer,0,0,0,27293,0.0,0.0,0.0,34500.0,0,0,0,9,27293,34500.0,9,Micro
jejee__s,Influencer,0,0,50302,0,0.0,0.0,42429.0,0.0,0,0,61,0,50302,42429.0,61,Micro
น้องนอนในห้องลองเสื้อ,Influencer,28954,0,9555,0,18954.0,0.0,3430.0,0.0,816,0,55,0,38509,22384.0,871,Micro
belltatcha,Influencer,0,0,117134,0,0.0,0.0,132425.0,0.0,0,0,31,0,117134,132425.0,31,Macro
iceamore,Influencer,0,0,11613,2,0.0,0.0,13617.0,2890.0,0,0,56,1,11615,16507.0,57,Micro
Cute Anongnart,Influencer,0,0,425105,0,0.0,0.0,143802.0,0.0,0,0,43,0,425105,143802.0,43,Macro
Jayzpanda,Influencer,436,0,1474,0,3107.0,0.0,6896.0,0.0,234,0,55,0,1910,10003.0,289,Micro
ของขวัญ วศินี สิทธิวรพงศ์,Influencer,0,623036,241714,4832,0.0,191546.0,81824.0,130000.0,0,444,174,20,869582,403370.0,638,Macro
tommy_hairstylist,Influencer,0,0,419,0,0.0,0.0,5986.0,0.0,0,0,13,0,419,5986.0,13,Nano
Netty Vichyanond,Influencer,0,0,90551,0,0.0,0.0,6886.0,0.0,0,0,155,0,90551,6886.0,155,Micro
Arifah KH,Influencer,35947,0,143544,17987,95196.0,0.0,109459.0,399000.0,205,0,80,15,197478,603655.0,300,Macro
Richynichakan,Influencer,0,0,9350,0,0.0,0.0,35730.0,0.0,0,0,64,0,9350,35730.0,64,Micro
นีน่า แพรวเพชร กาญจน์เกียรติกุล,Influencer,0,0,76783,1525,0.0,0.0,119259.0,196000.0,0,0,83,8,78308,315259.0,91,Macro
รีวิวเบๆบ้านๆ,Influencer,0,0,0,2,0.0,0.0,0.0,81.0,0,0,0,3,2,81.0,3,Nano
Amy Kitiya,Influencer,4772512,0,326559,143047,850838.0,0.0,332048.0,1290000.0,791,0,60,41,5242118,2472886.0,892,Mega
MadamPam,Influencer,0,0,1994,75250,0.0,0.0,7305.0,953000.0,0,0,7,82,77244,960305.0,89,Macro
โมเม นภัสสร บูรณศิริ,Influencer,0,12,335592,10365,0.0,269890.0,779728.0,225000.0,0,3,67,8,345969,1274618.0,78,Mega
LEEAH,Influencer,0,0,159868,12180,0.0,0.0,320152.0,777000.0,0,0,56,8,172048,1097152.0,64,Mega
เอิ๊ก พีรญา ป้อมอาษา,Influencer,0,68581,19730,78,0.0,25848.0,82825.0,122000.0,0,176,86,6,88389,230673.0,268,Macro
ก็ฝ้ายจะรีวิว,Influencer,0,0,4811,1623,0.0,0.0,4782.0,20600.0,0,0,29,10,6434,25382.0,39,Micro
mm.sharing,Influencer,0,0,197,0,0.0,0.0,3207.0,0.0,0,0,2,0,197,3207.0,2,Nano
The Equinox Fashion,Influencer,0,0,5261,0,0.0,0.0,16682.0,0.0,0,0,28,0,5261,16682.0,28,Micro
hackmakeup,Influencer,0,0,38971,0,0.0,0.0,60252.0,0.0,0,0,152,0,38971,60252.0,152,Macro
ก๊อบแก๊บรีวิว,Influencer,287826,62243,93,0,401294.0,114713.0,4351.0,0.0,347,117,1,0,350162,520358.0,465,Macro
teethory,Influencer,0,0,7244,0,0.0,0.0,44326.0,0.0,0,0,36,0,7244,44326.0,36,Micro
pearlinstyle,Influencer,0,0,14111,0,0.0,0.0,49044.0,0.0,0,0,45,0,14111,49044.0,45,Micro
ออนนีเยปอ,Influencer,3668,68106,74552,401,25517.0,48467.0,12162.0,23200.0,193,204,131,5,146727,109346.0,533,Macro
จูน June Jellyjune,Influencer,0,0,65899,5144,0.0,0.0,44977.0,86600.0,0,0,58,5,71043,131577.0,63,Macro
รีวิวมนุษย์ผิวแห้ง,Influencer,221843,0,0,0,206999.0,0.0,0.0,0.0,564,0,0,0,221843,206999.0,564,Macro
มด ดวงกมล ถิระวัฒน์,Influencer,0,0,105404,0,0.0,0.0,132796.0,0.0,0,0,415,0,105404,132796.0,415,Macro
Tewfortew,Influencer,0,0,0,9481,0.0,0.0,0.0,40900.0,0,0,0,19,9481,40900.0,19,Micro
tonnkhaw,Influencer,0,0,603057,0,0.0,0.0,63470.0,0.0,0,0,93,0,603057,63470.0,93,Micro
Znysomm,Influencer,0,0,17199,0,0.0,0.0,19634.0,0.0,0,0,29,0,17199,19634.0,29,Micro
ทราย นันทวรรณ พรชัยจันทร์เพ็ญ,Influencer,0,192793,117887,1511,0.0,29185.0,163719.0,129000.0,0,293,149,10,312191,321904.0,452,Macro
SistaCafe,Influencer,243945,1214,54294,927,1312669.0,213719.0,313781.0,55200.0,4841,48,41,7,300380,1895369.0,4937,Mega
jomjamspch,Influencer,0,0,348118,2336,0.0,0.0,199371.0,46300.0,0,0,37,2,350454,245671.0,39,Macro
พรีม with.peachy,Influencer,0,0,3721,0,0.0,0.0,12888.0,0.0,0,0,29,0,3721,12888.0,29,Micro
Lee Gade,Influencer,0,0,2511067,0,0.0,0.0,469659.0,0.0,0,0,65,0,2511067,469659.0,65,Macro
atilalnan_,Influencer,0,0,236605,2333,0.0,0.0,176129.0,16200.0,0,0,51,3,238938,192329.0,54,Macro
BEHIND the BEAUTY,Influencer,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Micro
Wongnai Beauty,Influencer,1096835,27906,88122,0,1765046.0,39636.0,151482.0,0.0,4437,149,115,0,1212863,1956164.0,4701,Mega
sunnyseason,Influencer,0,0,5314,0,0.0,1457.0,4389.0,0.0,0,66,66,0,5314,5846.0,132,Nano
kapookphat,Influencer,0,0,1130321,0,0.0,0.0,225874.0,0.0,0,0,80,0,1130321,225874.0,80,Macro
Brinkkty,Influencer,136600,0,2726269,125700,120470.0,0.0,339673.0,409000.0,293,0,142,40,2988569,869143.0,475,Macro
Natt Chokejindachai,Influencer,0,0,705498,0,0.0,0.0,167319.0,0.0,0,0,79,0,705498,167319.0,79,Macro
puffpoy,Influencer,0,492,92049,0,0.0,1978.0,77077.0,0.0,0,200,37,0,92541,79055.0,237,Micro
malinmln,Influencer,0,0,955767,16,0.0,0.0,273521.0,45400.0,0,0,131,1,955783,318921.0,132,Macro
Maycry999,Influencer,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Micro
Wannita Kumnui,Influencer,0,34995,2082,0,0.0,4484.0,2459.0,0.0,0,159,13,0,37077,6943.0,172,Nano
lifestylehattaya70,Influencer,172443,7,107371,9461,200129.0,5586.0,102470.0,358000.0,269,1,64,18,289282,666185.0,352,Macro
bampchr,Influencer,0,0,133445,0,0.0,0.0,33871.0,0.0,0,0,31,0,133445,33871.0,31,Micro
minipuly,Influencer,0,30,1144,0,0.0,310.0,1412.0,0.0,0,51,30,0,1174,1722.0,81,Nano
เมย์ Me.Melissa,Influencer,0,0,823,0,0.0,0.0,19787.0,0.0,0,0,8,0,823,19787.0,8,Macro
Mejungwon Hair Salon,Influencer,2443,0,853,0,36326.0,0.0,1970.0,0.0,848,0,169,0,3296,38296.0,1017,Micro
Meiyong Pissini,Influencer,0,0,153109,0,0.0,0.0,37399.0,0.0,0,0,151,0,153109,37399.0,151,Micro
