account_name,category,fb_en,tw_en,ig_en,yt_en,fb_fan,tw_fan,ig_fan,yt_fan,fb_count,tw_count,ig_count,yt_count,tot_en,tot_fan,tot_count,tier
Salisa,Influencer,0,0,26608,0,0.0,0.0,13185.0,0.0,0,0,66,0,26608,13185.0,66,Micro
พลอย CocoPsyche,Influencer,0,10,1987,16,0.0,93.0,9427.0,53800.0,0,12,34,1,2013,63320.0,47,Micro
Bew Varaporn,Influencer,75183,0,1667629,138433,37445.0,0.0,349150.0,478000.0,485,0,179,47,1881245,864595.0,711,Macro
นักรีวิวสมัครเล่น,Influencer,432203,414328,21741,0,267053.0,71851.0,5769.0,0.0,651,320,78,0,868272,344673.0,1049,Macro
Ninew Yopang,Influencer,0,0,6501,24,0.0,0.0,15720.0,1300.0,0,0,24,9,6525,17020.0,33,Micro
lumai (@looookmai),Influencer,0,0,2726,0,0.0,0.0,890.0,0.0,0,0,23,0,2726,890.0,23,End-user
minireview_by_mint,Influencer,0,0,1113,0,0.0,0.0,1426.0,0.0,0,0,14,0,1113,1426.0,14,Nano
nanapat,Influencer,0,0,36830,0,0.0,0.0,30017.0,0.0,0,0,50,0,36830,30017.0,50,Micro
Pureswan,Influencer,0,0,13940,40702,0.0,0.0,7433.0,69700.0,0,0,28,18,54642,77133.0,46,Micro
jimmakeup,Influencer,0,0,31781,0,0.0,0.0,81108.0,0.0,0,0,101,0,31781,81108.0,101,Micro
ppraewq,Influencer,0,0,0,303,0.0,0.0,0.0,34500.0,0,0,0,1,303,34500.0,1,Micro
jejee__s,Influencer,0,0,48802,0,0.0,0.0,43284.0,0.0,0,0,64,0,48802,43284.0,64,Micro
น้องนอนในห้องลองเสื้อ,Influencer,27074,0,13372,0,18011.0,0.0,3430.0,0.0,818,0,83,0,40446,21441.0,901,Micro
belltatcha,Influencer,0,0,164894,0,0.0,0.0,136892.0,0.0,0,0,62,0,164894,136892.0,62,Macro
iceamore,Influencer,0,0,13086,0,0.0,0.0,13617.0,0.0,0,0,75,0,13086,13617.0,75,Micro
Cute Anongnart,Influencer,0,0,586024,0,0.0,0.0,145379.0,0.0,0,0,47,0,586024,145379.0,47,Macro
Jayzpanda,Influencer,1348,0,1744,0,3016.0,0.0,7272.0,0.0,222,0,122,0,3092,10288.0,344,Micro
ของขวัญ วศินี สิทธิวรพงศ์,Influencer,0,414835,135567,13339,0.0,181779.0,81824.0,121000.0,0,331,104,32,563741,384603.0,467,Macro
tommy_hairstylist,Influencer,0,0,497,0,0.0,0.0,5986.0,0.0,0,0,34,0,497,5986.0,34,Nano
Netty Vichyanond,Influencer,0,0,51876,0,0.0,0.0,29310.0,0.0,0,0,101,0,51876,29310.0,101,Micro
Arifah KH,Influencer,24364,0,116950,53894,91498.0,0.0,110071.0,375000.0,117,0,71,17,195208,576569.0,205,Macro
Richynichakan,Influencer,0,0,14950,0,0.0,0.0,35730.0,0.0,0,0,72,0,14950,35730.0,72,Micro
นีน่า แพรวเพชร กาญจน์เกียรติกุล,Influencer,0,0,66134,4677,0.0,0.0,115356.0,193000.0,0,0,50,12,70811,308356.0,62,Macro
รีวิวเบๆบ้านๆ,Influencer,0,0,132,0,0.0,0.0,782.0,0.0,0,0,3,0,132,782.0,3,Nano
Amy Kitiya,Influencer,3719926,0,503195,297840,746285.0,0.0,337335.0,1190000.0,515,0,66,53,4520961,2273620.0,634,Mega
